year,cause,deaths,deaths_lower,deaths_upper
1994,Diarrheal diseases,2948990.893416912,2361122.772693039,3776771.662055832
1994,Digestive diseases,1940327.0467890096,1732724.939567394,2170628.299706129
1994,Lower respiratory infections,2905198.661033516,2612765.131321122,3238728.189204584
1994,Neonatal disorders,2973751.006886378,2812984.789442392,3154723.528793142
1994,Total cancers,6405399.236462981,6088380.937455062,6724394.644483389
1994,"Tracheal, bronchus, and lung cancer",1181191.7031376583,1111635.0542746144,1291689.1965827632
1994,Tuberculosis,1873826.2485449451,1453830.5700664057,2287526.036422393
1995,Cardiovascular diseases,14031971.108241644,13062426.748015417,14843913.726608817
1995,Chronic respiratory diseases,2529385.3022465096,2034142.942999056,2909504.447110313
1995,Diabetes and kidney diseases,1485189.7568491308,1342734.5757243324,1657069.2215937546
1995,Diarrheal diseases,2864250.7240967336,2258815.065491128,3699943.2355136857
1995,Digestive diseases,1960599.6050610207,1759909.2975797718,2193867.7110591945
1995,Lower respiratory infections,2894746.886989852,2603929.378771432,3231237.6934994133
1995,Neonatal disorders,2924733.484791524,2779613.8460537964,3091402.402379296
1995,Total cancers,6510145.02425437,6174497.624416086,6828231.580396333
1995,"Tracheal, bronchus, and lung cancer",1212537.2956153215,1143735.1821196813,1325193.1752214977
1995,Tuberculosis,1878373.1533514336,1480184.203757325,2312519.0234057163
1996,Cardiovascular diseases,14094218.23202476,13105530.549995922,14841670.448413713
1996,Chronic respiratory diseases,2590331.481703356,2110315.1141737862,2961030.025394078
1996,Diabetes and kidney diseases,1526824.5655118353,1385806.482437478,1702660.8627906211
1996,Diarrheal diseases,2776843.9050798067,2197117.170332859,3588834.6240269844
1996,Digestive diseases,1970654.410499887,1764281.4517293633,2208354.528623756
1996,Lower respiratory infections,2854625.2876541144,2569531.203870925,3181172.1961963074
1996,Neonatal disorders,2866408.219946661,2728449.646588197,3020179.030900463
1996,Total cancers,6591948.168893643,6272754.153748182,6888386.694631134
1996,"Tracheal, bronchus, and lung cancer",1224498.0051949448,1154497.496519311,1325033.8761257783
1996,Tuberculosis,1872292.908527005,1485951.4924147315,2257754.247937754
1997,Cardiovascular diseases,14167863.294678727,13174977.276471032,14916974.42971316
1997,Chronic respiratory diseases,2657025.107977659,2162572.094523009,3039295.15160911
1997,Diabetes and kidney diseases,1565507.940923179,1420706.312607442,1737615.2579499444
1997,Diarrheal diseases,2675650.78410446,2135089.243567827,3508597.209381665
1997,Digestive diseases,1982347.1218713387,1766752.8855554347,2217612.843193545
1997,Lower respiratory infections,2807265.3949623173,2534434.2041420965,3147125.501315869
1997,Neonatal disorders,2800465.145552123,2670881.926020916,2935637.644867229
1997,Total cancers,6667987.408674358,6345949.66729987,6967316.64629132
1997,"Tracheal, bronchus, and lung cancer",1240041.833194141,1164835.0615153643,1340825.0068101415
1997,Tuberculosis,1858691.993216242,1494387.3766621356,2264018.0044441274
1998,Cardiovascular diseases,14298991.639379378,13314442.434431484,15087665.13003027
1998,Chronic respiratory diseases,2739368.640348676,2245865.9146105098,3115268.7355983644
1998,Diabetes and kidney diseases,1615469.7753950716,1470237.4383517215,1782537.2358314758
1998,Diarrheal diseases,2585379.947962689,2026686.241145848,3387962.13400232
1998,Digestive diseases,2004583.394045186,1805362.1948710573,2230365.667509521
1998,Lower respiratory infections,2763406.5824983865,2488134.38739436,3083175.5929133613
1998,Neonatal disorders,2739607.452264036,2610387.491256717,2876427.4000023827
1998,Total cancers,6775480.326619431,6408371.854871162,7069229.193915276
1998,"Tracheal, bronchus, and lung cancer",1263681.390429291,1185752.6330791432,1365111.4265494803
1998,Tuberculosis,1839595.201846341,1470845.8346735989,2259964.8184463987
1999,Cardiovascular diseases,14504588.92310478,13612696.368603691,15311716.097427316
1999,Chronic respiratory diseases,2817010.896176697,2339148.609553168,3150950.266138588
