model_type,target,n_test_pos,pos_rate,roc_auc,pr_auc,precision,recall,f1,accuracy
xgboost_baseline,valvular_endocardial_disease,625,0.0246,0.9289,0.2116,0.5,0.0032,0.0064,0.9754
xgboost_baseline,cardiomyopathy_myocarditis,283,0.0111,0.9246,0.1848,0.5909,0.0459,0.0852,0.989
xgboost_baseline,stroke_tia,368,0.0145,0.9052,0.1499,0.5385,0.019,0.0367,0.9856
xgboost_baseline,ventricular_arrhythmias_arrest,182,0.0072,0.9281,0.1311,0.0,0.0,0.0,0.9927
xgboost_baseline,supraventricular_tachyarrhythmias,164,0.0064,0.8911,0.122,0.5556,0.0305,0.0578,0.9936
xgboost_baseline,ami_nstemi,306,0.012,0.9227,0.1198,0.0,0.0,0.0,0.9879
xgboost_baseline,ami_stemi,57,0.0022,0.9223,0.1085,1.0,0.0175,0.0345,0.9978
xgboost_baseline,aortic_peripheral_vascular,411,0.0162,0.8952,0.0886,0.0,0.0,0.0,0.9838
xgboost_baseline,pe_dvt_venous_thromboembolism,332,0.0131,0.8653,0.0725,0.0,0.0,0.0,0.9869
xgboost_baseline,pericardial_disease_tamponade,108,0.0042,0.8648,0.0363,0.0,0.0,0.0,0.9958
xgboost_baseline,unstable_angina_ac_ischemia,107,0.0042,0.8993,0.0268,0.0,0.0,0.0,0.9958
xgboost_weighted,hypertension_crisis,5895,0.2318,0.9367,0.7879,0.6154,0.9018,0.7316,0.8466
xgboost_weighted,afib_aflutter,1846,0.0726,0.9513,0.6985,0.3421,0.8927,0.4946,0.8676
xgboost_weighted,chronic_ischemic_disease,1988,0.0782,0.9315,0.4942,0.3117,0.9175,0.4654,0.8352
xgboost_weighted,heart_failure_acute,999,0.0393,0.9384,0.3707,0.201,0.8819,0.3274,0.8577
xgboost_weighted,brady_heart_block_conduction,382,0.015,0.931,0.2446,0.0965,0.801,0.1722,0.8844
xgboost_weighted,heart_failure_chronic,702,0.0276,0.9257,0.2105,0.1264,0.8875,0.2214,0.8277
xgboost_weighted,valvular_endocardial_disease,625,0.0246,0.9242,0.2033,0.1146,0.8816,0.2029,0.8298
xgboost_weighted,cardiomyopathy_myocarditis,283,0.0111,0.9215,0.191,0.0721,0.7456,0.1315,0.8904
xgboost_weighted,stroke_tia,368,0.0145,0.8999,0.1501,0.0648,0.7826,0.1197,0.8335
